Position,"Track Name",Artist,URL
1,"Iko Iko","Justin Wellington",https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
2,"Bongo Cha Cha Cha - Bonus Track","Caterina Valente",https://open.spotify.com/track/7eyjhTyv9gSVJQ9HTk6AUU
3,Poison,"Klaus Veen",https://open.spotify.com/track/4kdnniHBTCnzaYXrnsweSf
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,"Somebody To Love",Basstrologe,https://open.spotify.com/track/6uYnM3pZBgvEh95lrsqSJS
6,"Musica leggerissima",Colapesce,https://open.spotify.com/track/67qxSUoyng1ohzvfyOyNWW
7,"Faded Love",Leony,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
8,"Wellerman - Sea Shanty","Nathan Evans",https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
9,YKWIM?,"Yot Club",https://open.spotify.com/track/7ejeQLLLGjVriLS7cojERB
10,Wendy,Viko63,https://open.spotify.com/track/01xjphWzvS5XQy2H2qSqmW
11,"X Gon' Give It To Ya",DMX,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
12,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
13,"Somebody To Love","Axel Black & White",https://open.spotify.com/track/7AxA87dIJ1FF4l1BQ98ZCZ
14,"Stand Up (From Harriet)","Cynthia Erivo",https://open.spotify.com/track/3wNNbf63xkxw9rIVWtFy7a
15,"Cover Me In Sunshine",P!nk,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
16,"Mi manchi","Aka 7even",https://open.spotify.com/track/5Q47Vr7OH4XdXR6tqdwTE2
17,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
18,Fiel,"Los Legendarios",https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"Disco Arranhado - Funk Remix",Malu,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
20,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
21,"Latest Trends","A1 x J1",https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
22,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
23,Exil,Hiboky,https://open.spotify.com/track/39pMuJ3ShxDqb7bBIAXSYG
24,"Yo No Sé",Rvfv,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
25,"Lauf davon","Danger Dan",https://open.spotify.com/track/1Oo50UAQeYfZEdmZ3VH2bp
26,"Track Star",Mooski,https://open.spotify.com/track/5hChuUMe5iHfjkXgzj1D4b
27,"Nesesari (feat. Philkeyz)","Kizz Daniel",https://open.spotify.com/track/3YzhsBh8BRGxbMThPC3Ibw
28,"Pretty One",Koomz,https://open.spotify.com/track/4Me1GwI6kq6ZVLVcyMT7VC
29,"Marea (We’ve Lost Dancing)","Fred again..",https://open.spotify.com/track/1t0Jmqg1pKVBbxjQFZebeR
30,"Tout l'univers","Gjon's Tears",https://open.spotify.com/track/3MvY2XbGYFi6p2dgmdcOYG
31,"Take Off, Baby! feat. Orlando - Original Mix","Ronald Christoph",https://open.spotify.com/track/53De5pp7L4umlJU7srhacZ
32,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
33,Runaway,AURORA,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
34,"Laisser faire",Angelcy,https://open.spotify.com/track/79aL0u0Ll6BdI4YrrIXY5y
35,Frisch,Gustav,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
36,Tokyo,Leat'eq,https://open.spotify.com/track/5GRf6zSrCi8gErdN6CyRJT
37,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,https://open.spotify.com/track/1SelxYHPb04GjUy0oYV1Jw
38,"Party Up",DMX,https://open.spotify.com/track/0LWkaEyQRkF0XAms8Bg1fC
39,HAINE&SEX,Gazo,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
40,telepatía,"Kali Uchis",https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
41,"Yucky Blucky Fruitcake",Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE
42,"Bärner Meitschi (Zürimaa) - Aus ""Sing Meinen Song, Vol. 2""","Ta'Shan ",https://open.spotify.com/track/524T2iIvtNh6DTfsuKYh1T
43,"La kiffance",Naps,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
44,"Ruff Ryders' Anthem",DMX,https://open.spotify.com/track/1BKT2I9x4RGKaKqW4up34s
45,"Follow You","Imagine Dragons",https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
46,Faded,B1,https://open.spotify.com/track/5EflbExBvQcP93uuLaUFUV
47,Champion,"Serge Ibaka",https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
48,"Enjoy Enjaami",Dhee,https://open.spotify.com/track/1baHxgYktT8eDdmtTozJF9
49,"Nothing on You","Barry Brizzy",https://open.spotify.com/track/3lbKszuKtSNWJPk1kUG2xG
50,"Slumber Party",Ashnikko,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
