Position,"Track Name",Artist,URL
1,"Yucky Blucky Fruitcake",Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE
2,"Prom Night",Riovaz,https://open.spotify.com/track/77OOBEhQnWEum2pokUnoMU
3,YKWIM?,"Yot Club",https://open.spotify.com/track/7ejeQLLLGjVriLS7cojERB
4,"Ruff Ryders' Anthem",DMX,https://open.spotify.com/track/1BKT2I9x4RGKaKqW4up34s
5,Slippin',DMX,https://open.spotify.com/track/740gNyGWKk98gy8nJLhHrv
6,"X Gon' Give It To Ya",DMX,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
7,"I Hear a Symphony","Cody Fry",https://open.spotify.com/track/3iJya7m7trpGv570Ske30n
8,"Party Up",DMX,https://open.spotify.com/track/0LWkaEyQRkF0XAms8Bg1fC
9,"Sneaky Link",HXLLYWOOD,https://open.spotify.com/track/3rlUxMDbs9DFZn0NaFO305
10,"Where The Hood At",DMX,https://open.spotify.com/track/6RUpJeXT6U4SPEafnr9Wr7
11,"What These Bitches Want",DMX,https://open.spotify.com/track/57kdeoYzgGaKzRWj4XM1u8
12,Fiel,"Los Legendarios",https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
13,"Let Me Fly",DMX,https://open.spotify.com/track/3iZKQU7zgHw2tFuqD7mdqL
14,"What's My Name",DMX,https://open.spotify.com/track/6OQrmEIK8KOOVcSoSaEo40
15,"Baby My Phone","Yameii Online",https://open.spotify.com/track/2SjvBmZYIbQTJ7rrPgdmV8
16,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
18,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
19,"Cloud 9","Beach Bunny",https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
20,"Track Star",Mooski,https://open.spotify.com/track/5hChuUMe5iHfjkXgzj1D4b
21,Damien,DMX,https://open.spotify.com/track/33EvfEwe9JrbEt0PP1lIbt
22,"Who We Be",DMX,https://open.spotify.com/track/1RbnH7qjUyWJWh8kjFIYNw
23,"Slumber Party",Ashnikko,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
24,"en el Refuego","Grupo Diez 4tro",https://open.spotify.com/track/2dDfS3g7VYjQLDqPnMY8oB
25,"I Miss You",DMX,https://open.spotify.com/track/3DwoQNhaFD3mCKh93w2MHH
26,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
27,telepatía,"Kali Uchis",https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
28,"Prayer - Skit",DMX,https://open.spotify.com/track/4Vp7PokYymcoThbUoA8sQX
29,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
30,"If You Love Her","Forest Blakk",https://open.spotify.com/track/727Z2S2mtNH46CbP9EWPwY
31,"On The Ground",ROSÉ,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
32,"Stop Being Greedy",DMX,https://open.spotify.com/track/6904O7JrAxFybd4yu3Sz2V
33,"Romeo & Juliet","Peter McPoland",https://open.spotify.com/track/4AXS0kSzmuhAAYJtVKbZDq
34,"How's It Goin' Down",DMX,https://open.spotify.com/track/5hOrYYtUd96bIOBjuSEArP
35,Jelly,"Big Homie Ty.Ni",https://open.spotify.com/track/7upI4eeUGFQWpHvFF36p2G
36,"Turn Back Time",Derivakat,https://open.spotify.com/track/42kUY2Cvl9Fy9ccg30dx0j
37,Gone,ROSÉ,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
38,"Till Forever Falls Apart",Ashe,https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp
39,"One More Road To Cross",DMX,https://open.spotify.com/track/3pL4Er2Dezj7MJ5yp25aMl
40,"We Right Here",DMX,https://open.spotify.com/track/4jttAL9l4N4cFnrLeYcICI
41,"Bring Your Whole Crew",DMX,https://open.spotify.com/track/1lnqjCZfobpQe6DXURSvzn
42,"Go To Sleep",Eminem,https://open.spotify.com/track/66ezChUOWvgzRQAi3Ay1wt
43,Rollin',"Brave Girls",https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
44,"Get It On The Floor",DMX,https://open.spotify.com/track/0FEph6sqROmG2lfRh3Dwku
45,Intro,DMX,https://open.spotify.com/track/7xXy5wG7nUXwCz6zrnwiTI
46,"Better Than You’re Used To","Tyler Rich",https://open.spotify.com/track/7stizS5H8h8ABU390mkhZC
47,"Prayer III",DMX,https://open.spotify.com/track/4C19ejSGfkbqNEF3DcrI9v
48,"Best Friend (feat. Doja Cat)",Saweetie,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
49,"Drunk (And I Don't Wanna Go Home)","Elle King",https://open.spotify.com/track/0QULNNd9z5s35entfiiXoa
50,"Sometimes (Backwood)",gigi,https://open.spotify.com/track/5ysFFsqJFcsX8Rez67j2tv
